CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
ME414/514,Mechanical Engineering,1,HVAC Systems,"Budwig, Ralph S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,ME414&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MHR310,Management & Human Resources,1,Leading Organizations and People,Multiple,,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,mhr310&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MHR411,Management & Human Resources,1,Acquiring Human Capital,"Larson, Erick John",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,mhr411&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MHR417,Management & Human Resources,1,Deploying and Developing Human Capital,"Larson, Erick John",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,MHR417&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MHR418,Management & Human Resources,1,Managing Organization Design and Leading Changes,"Chung, Yunhyung",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,MHR418&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MKTG321,Marketing,1,Marketing,"Sisodiya, Sanjay Ram",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,MKTG321&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MKTG425,Marketing,1,Retailing Management,"McCollough, Michael A.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,MKTG425&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MKTG495,Marketing,1,Product Development and Brand Management,"Albertson, Douglas E",URL for this instructor only,
NRS462,Landscape Architecture,1,Natural Resource Policy,"Wilson, Patrick R.",,
NRS504,Landscape Architecture,1,ST: Write and publish articles,"Wardropper, Chloe B",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,NRS504&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
OM370,Operations Management,1,Process Management,"Xu, Shenghan",,
OM456,Operations Management,1,Quality Management,"Lawrence, John Joseph",,
